Location,Time,Loc_Time,TotalMigrants,GDP,NetMigrations
Burkina Faso,2015,Burkina Faso2015,704676,653.3272681,-19.754
Burkina Faso,2020,Burkina Faso2020,723989,857.9327297,-5.665
Burundi,1990,Burundi1990,333110,208.1466789,-39.996
Burundi,1995,Burundi1995,254853,167.0988878,-84.698
Burundi,2000,Burundi2000,125628,136.4639708,-40.114
Burundi,2005,Burundi2005,192774,151.6815663,17.913
Burundi,2010,Burundi2010,247321,234.2355389,11.847
Burundi,2015,Burundi2015,298299,305.5111441,-236.447
Burundi,2020,Burundi2020,344767,233.8375103,-10.186
Cabo Verde,1990,Cabo Verde1990,8931,908.0881284,-3.499
Cabo Verde,1995,Cabo Verde1995,9979,1261.103098,-1.068
Cabo Verde,2000,Cabo Verde2000,11027,1259.353067,-2.722
Cabo Verde,2005,Cabo Verde2005,12700,2099.148417,-3.673
Cabo Verde,2010,Cabo Verde2010,14373,3378.323433,-1.914
Cabo Verde,2015,Cabo Verde2015,14924,3043.031382,-1.474
Cabo Verde,2020,Cabo Verde2020,15788,3064.272388,-1.274
Cambodia,1990,Cambodia1990,38375,1,56.166
Cambodia,1995,Cambodia1995,92230,322.9315754,-8.706
Cambodia,2000,Cambodia2000,146085,300.613679,-4.248
Cambodia,2005,Cambodia2005,114096,474.1111921,-11.435
Cambodia,2010,Cambodia2010,82028,785.5026671,-43.068
Cambodia,2015,Cambodia2015,73962,1162.904995,-52.272
Cambodia,2020,Cambodia2020,79341,1547.511388,-22.308
Cameroon,1990,Cameroon1990,265967,1045.364362,-8.163
Cameroon,1995,Cameroon1995,244791,798.8813102,-12.66
Cameroon,2000,Cameroon2000,227242,681.102043,-21.221
Cameroon,2005,Cameroon2005,265503,1100.174926,-27.782
Cameroon,2010,Cameroon2010,291474,1352.302275,-9.362
Cameroon,2015,Cameroon2015,508346,1382.50979,42.007
Cameroon,2020,Cameroon2020,579209,1537.130218,-9.889
Canada,1990,Canada1990,4333318,21448.36196,145.27
Canada,1995,Canada1995,4864778,20613.78788,137.472
Canada,2000,Canada2000,5511914,24271.00206,201.617
Canada,2005,Canada2005,6078985,36382.50792,204.71
Canada,2010,Canada2010,6761226,47562.08343,227.724
Canada,2015,Canada2015,7428657,43596.13554,232.738
Canada,2020,Canada2020,8049323,43258.26387,195.181
Cayman Islands,1990,Cayman Islands1990,9315,1,1.01
Cayman Islands,1995,Cayman Islands1995,12666,1,1.099
Cayman Islands,2000,Cayman Islands2000,19176,1,1.02
Cayman Islands,2005,Cayman Islands2005,20679,1,0.985
Cayman Islands,2010,Cayman Islands2010,24062,73351.75776,0.895
Cayman Islands,2015,Cayman Islands2015,26193,76284.1943,1.079
Cayman Islands,2020,Cayman Islands2020,29242,85346.76195,0.766
Central African Republic,1990,Central African Republic1990,67234,513.3041877,2.0
Central African Republic,1995,Central African Republic1995,99712,346.1081962,-12.995
Central African Republic,2000,Central African Republic2000,123529,251.832764,8.082
Central African Republic,2005,Central African Republic2005,96409,331.2948211,-13.609
Central African Republic,2010,Central African Republic2010,94685,488.4217358,-43.189
Central African Republic,2015,Central African Republic2015,81568,377.4229177,-63.213
Central African Republic,2020,Central African Republic2020,88546,481.7462966,-24.803
Chad,1990,Chad1990,74342,291.5533573,-58.912
Chad,1995,Chad1995,89584,206.2606526,152.235
Chad,2000,Chad2000,104825,166.1757089,-3.839
Chad,2005,Chad2005,352130,658.566973,19.281
Chad,2010,Chad2010,417034,892.5688697,10.419
Chad,2015,Chad2015,466968,776.0197523,-48.918
Chad,2020,Chad2020,547494,652.3492096,9.016
Channel Islands,1990,Channel Islands1990,61660,1,0
Channel Islands,1995,Channel Islands1995,60519,1,0
Channel Islands,2000,Channel Islands2000,64301,1,0
Channel Islands,2005,Channel Islands2005,70941,1,0
Channel Islands,2010,Channel Islands2010,77581,1,0
Channel Islands,2015,Channel Islands2015,82307,1,0
Channel Islands,2020,Channel Islands2020,84087,1,0
Chile,1990,Chile1990,107501,2494.526796,-5.253
